Id,Label,Fonction municipale ou royale ,Profession
1,Guilhem Palafre,CRI CS,MAG 
2,Anthoni Aldabert,,AF
3,Arnaut Mosqueta,CS ,
4,Berth. Clergue Bartholus Clerici,COS CS ,MAR 
5,Dorde Coyrenh ; Deodatus Coyrenh,CRI ,
6,Johannes Helie Johan Helias Johan Helies,COS CS CAP,NOT 
7,Ramundus de Grapede Ramundus de Grabede,CS ,NOT 
8,Guillelmus Clerici Guilhem Clergue,,
9,Bernat Codonh alias Cordier, COS,MAR 
10,Guillelmus Primieti Guillelmus Primeti ,TRES COS CS LTV,MAR 
11,Johannes Grins Mr Johannes Grinii Johanni Grin ,CS ,NOT 
12,R. del Pueg ; Ramundus de Podio,COS CS ,
13,Anthoni Digon Anthonius Digon,COS CS ,MAR 
14,Johan Begonhier,COS CS ,NOT 
15,R. Boier ;  lo davan digz Ramon Boier ; Ramundo Boerii,CS ,
16,,,
17,Petro Texteris Peyre Teysseyre,,COT
18,P. Pueg Petrus Podii,CS ,NOT 
19,Guilelmus Guitbaudi,CS ,
20,Johanni Trespueg,CS,
21,Bernardi Salini et, CS ,MAR 
22,Johannes Primeti Johan Primet,CS ,MAR 
23,Peyre Borguet Petro Borgueti ,CS,SAV
24,Guilhem de Bar Guillelmus de Baro. ,,MAR
25,P. Boyssares,COS CS ,
26,Anthoni del Mas,COS CS ,
27,Johan de Caselas Johanni de Casellis ,COS,
28,P. Calmetas ,CS ,MAR
29,Steve de Rando Steve de Lando Stephanus de Rando,,SAV 
30,P. Andrieu,SERV CS,
31,Guiraut del Moli ,CS ,
32,Johan de Bert Johan de Vert de Berco,COS CS ,FUS 
33,P. Fontanerii,COS TRES,MAR 
34,Bertrandus Cammas,,
35,Guilhem del Forn Guillelmo de Furno ,,
36,Ramon del Forn Ramundo de Furno ,,AF 
37,Raymond Calverie,,SAV
38,Johannes Visturis,,NOT 
39,Bernat de Torns,,
40,Nicholau Turel ,CS ,
41,Ramon Viau Ramundo Viau Ramundo Brau,,
42,Sicardo Gorgon Sicardo Gorgori Sicart Gregori,,
43,Guillelmo Bostayrol ,CS ,
44,Berdus Cerondelh ,CS ,
45,Guilhem de Lichos Guillelmus de Vichos,,SAR 
46,G. de Plens, CS,SAV
47,R. Berth Ramond Barth. Ramundus Bartholi, CS, SAV 
48,Berdus Amatz Amati,,PENT
49,Ramundus de Armolh ,,
50,Me Michael de Plens ,COS CS ,NOT
51,Bernat de Roziers,,SRT
52,Johan de Corbatieu ,CS,
53,Guillelmo Ejo Eio Guillelmus Ejorns,COS CS,MAR
54,Johannes Dardeti junior,CS ,
55,Johannes Valeta,,
56,Jacobus Barani,,
57,Guillelmus Catalani,CS ,MAS
58,Durando Chalnaric ou Chalvaric ,COS CS ,
59,Gaubertus Donadieu,CS ,
60,Johannes dels Clergues ; mercatori Albie, CS,MAR
61,Pons de Betas,,
62,Johan Vestor ,,NOT
63,P. del Pueg alias de Natavis ,CS,MAS
64,R. de Montelhs. ,,
65,Ramundus Bariholi,,
66,R. Controbre,,REC 
67,Durandus de Montalasac,CS ,MAR
68,Philipus Baldini,COS CS ,
69,Guiraut Valeta Guiraut de Valentas,COS CS ,
70,Duran Jaquet Durandus Jaqueti, CS ,IT
71,Huc Viguier, CS ,AF 
72,Guilhem Boier,CS ,
73,Ramon Calmeyra,CS ,
74,Arnaldus Issaras Yssaras,COS CS ,MAS
75,Johannis Grassi,CS ,MAS
76,Bertholomeus Rantent,,
77,Guiraut de Camtat Geraldo de Camiaco,,BAS 
78,Johannis Manierii,,
79,Michaeli / Miquel Miquel (sic),,SAR
80,Guillelmus Cofre,,
81,Guillelmo Columberti,,AF 
82,Guillelmus Gauberti ,,AF 
83,Peyre Jolia, CS ,MAS 
84,Pons Conilh,CS ,
85,Guilhem Bussen,CS ,
86,P. Andree ,,
87,Johan Erat ?,,
88,P. Laymana ,,
89,Pons Palafredi,,
90,P. de Longayro ,CS ,FUS 
91,Ramundus Cabirolh Ramundus Cabriolh,  COS CS,SAV 
92,Jacobus Vinhas, CS,SAV
93,Guilhem Bostayrol ; jove (le jeune),,AF 
94,Peyre Marti,,
95,Johannes Torccus ?,,
96,Guillelmo Candeleni Guillemus Candelerii, CS,AF
97,Guido de Rappno. ,,
98,Ramond Venhas,,SAV 
99,Johan Compte, CS,SRT 
100,Peyre Vinhas,,
101,Peyre Bona,COS,
102, Pos Convenas,COS ,NOT
103,Bert de Gresas Bernardus de Gresis Bernat de Gersas,COS  CS, MAR
104,Johan de Frejavila ,COS CS ,
105,Berdus Palafredi,CS,
106,Sicart de Landas Sicardi de Landis Sicardus de Laudis,COS,
107,Jacque Barau Jacobus Barrani ? ,CS ,MAS
