Année,1418,1418,1418,1418,1418,1418,1418,1418,1419,1419,1419,1419,1419,1419,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420,1421,1421,1421,1421,1421,1421,1421,1421,1421,1422,1422,1422,1422,1422,1422,1422,1423,1423,1423,1423,1423,1423,1424,1424,1424,1424,1424,1424,1424,1424,1424,1424,1425,1425,1425,1425,1425,1425,1425,1425,1426,1426,1426,1426,1426,1427,1427,1427,1427,1427,1427,1427,1428,1428,1428,1428,1428,1428,1428,1428,1429,1429,1429,1429,1429,1429,1429,1429,1429,1429,1430,1430,1430,1430,1430,1430,1430,1433,1433,1433,1433,1433,1433,1433,1433,1433,1434,1434,1434,1434,1434,1434,1434,1434,1434,1434,1435,1435,1435,1435,1435,1436,1436,1436,1436
Nom de la ferme ,PC,G,PT,CV,HP,TT,F,VM,PC,TV,TP,PT,CV,QT,LC,JC,G,PC,TT,VM,PC*,TP,HP,PT,F,CV,EV,LC,G,TP,HP,PH,PT,CV,F,G,LC,PC,TP,HP,EV,PT,F,G,PV,HP,PT,CV,VM,TP,EV,PV,G,HP,PT,CV,TP,EV*,PV,G,PT,TP,CV,F,EV,HP,PV,G,PT,TP,CV,F1,PV,G,PT,TP,F2,EV,PV,PT,TP,G,EV,CV,FS,HP,PV,PT,G,TP,EV,CV,FS,F,TM,HP,PT,PV,CV,G,FS,TP,PC,PV,TP,PT,G,EV,TPC 1,TPC 2,PC,VM,PV,PT,TP,G,EV,CV,FS,PTA,PC,HP,PV,PT,CV,G,F,PT,PV,G,TP
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,,9,23,,,,,,,,,23,,,18,,9,,,,,67,,23,93,,4; 5,18,15,67,,,23,,,9,18,,,,,117,,9,9,,24,,,141,,150,9,,24,,141,,17,48,23,141,42,212; 213,,,5,48,24,207,,,150,48,24,,,1,150,24,53,48,5,5; 242,252,253,174,24,58,58,242,242,264,,,,,201,5,281,264,58,,,,296,,,,,,,27,296,280,149,306,,,,,,201,296,5,280,,296,18; 260,280,280
T O,,,,,,,,,,,,,,,6; 61; 14; 62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1; 60; 221,,,,,,,,,,,,,,,,,,150; 92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 1,,9,23,,,,,,,,,23,,,15,,9,,,,,67,,23,94,,4; 5,18,15,67,,,23,,42,9,18,,,,,117,,9,9,,24,,,,,150,9,,24,,141,,17,48,23,207,42,212; 213,208,,5,48,24,207,,,150,48,24,,244,52,150,24,53,48,5,5; 242,,254,174,24,58,58,242,242,265,,,270,,201,5,281,252,58,284; 285,,,,,,,,,,27,296,280,149,306,,,,,,201,296,5,280,,296,18; 260,280,280
T 1,,10; 5; 1; 11 ,,,,,,,,,,56; 57; 1,,,,,22; 69,,,,,5; 82,,25; 5; 1,32; 90,,,27; 10; 106,106; 28,,,,,,,,,,,,,105; 139; 5,,1; 148,148; 47,,47; 1,,,,,178; 179; 180; 1,83; 32; 53,,28; 132; 150; 1,,,,67; 48; 197; 79,67; 17; 197; 79,198; 53; 5,,,,,,1; 60; 221,126; 217; 219; 220; 10,53; 197; 1,197,,,8; 5; 201,71; 60; 1,71; 5,,,,194; 53; 5,194; 53; 150,194; 150; 24,194; 150; 24,194; 150; 24; 201,150; 201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 2,,15 ,24,,,,,,,,,,,,27,,70,,,,,83,,23,93,,15,18,,53,,,117,,122,15,15,,,,,9,,,154,,24,,,,,17,48,,23,,,,9,,24,,210,214,146,,150,92,24,53,,,,9,,,52,1,174; 247,,150; 20,20,5,251,,255,201,,242,,5,5,5,,,271,,,252,,264,,284; 285,,,,,,,,,,279,,149,280,150,,,,,,247,,,294,,24,53,20,
T 2,,12; 13; 14; 18; 17 ,25; 26 ; 27,,,,,,,,,,,,,,20; 1; 5,,,,,,,88; 89,,,55; 100,,,,,,5,,,,,,,,,32; 5,,,155; 1,,145; 162; 163,,,,,145; 176,,,188; 55,,,,,,,,,,,,222; 223; 224,,150; 231,,,,,,,,,,,,,150; 242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5; 242,5; 242,,,,,,,,,,,,106; 320; 321,,,
E 3,,18,23,,,,,,,,,,,,18,,,,,,,67,,29,,,77,107,,52,,,,,122,9,,,,,,24,,,150; 20,,23,,,,,,9,,,,,,60,,23,,,212; 213,208,,,48,,,,,,48,,,,,201; 150,,,20,150,252,,,,,58,,,242,266,,,270,,,233,,252,,,,,,,,,,,,,,24,281; 303,306,,,,,,,,,256,,296,324,280,
T 3,,12; 5; 19,,,,,,,,,,,,,63; 64,,,,,,,,,37; 90; 32,,,,,,,,,,,,,,,,,,47; 23,,,156; 125,,164; 165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248; 249,,,150,,150; 92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150; 304,,,,,,,,,,,,,,,
